rank,combination,mean_decision_distance,min_pair_distance,max_pair_distance,historical_2023_set
224,AAA | ADM | DM | FAA | LAA,0.8493372318053314,0.6618125940389378,0.9782608695652174,False
225,ADM | BAA_Balanced | GTAA | QSF | RAA,0.8492833846931299,0.6956911375661375,0.94245658087466,False
226,ADM | BAA_Aggressive | DM | RAA | VAA,0.8492168176004885,0.6722152864474961,0.9833333333333334,False
227,BAA_Balanced | DM | FAA | GTAA | LAA,0.8491664556886341,0.6956911375661375,0.9782608695652174,False
228,ADM | DM | FAA | GPM | QSF,0.8491048435507382,0.6722152864474961,0.94245658087466,False
229,DM | GPM | LAA | QSF | RAA,0.8490827255060187,0.6101254480286739,0.9833333333333334,False
230,ADM | DM | EAA | QSF | RAA,0.8489900264635244,0.66262737884406,0.9833333333333334,False
231,ADM | BAA_Balanced | DM | FAA | QSF,0.8488170868744176,0.6722152864474961,0.94245658087466,False
232,DM | GPM | GTAA | LAA | RAA,0.8484448899996581,0.6101254480286739,0.9833333333333334,False
233,ADM | DAA | DM | GPM | LAA,0.8483937242420814,0.5711544972082562,0.9782608695652174,False
234,ADM | BAA_Aggressive | KDA | LAA | RAA,0.8483122986301259,0.6101254480286739,0.971830985915493,False
235,BAA_Aggressive | DM | EAA | FAA | LAA,0.8482628987343179,0.6751456348063919,0.9782608695652174,False
236,DM | GTAA | KDA | QSF | RAA,0.8482090372909111,0.6193150680482424,0.9833333333333334,False
237,ADM | BAA_Aggressive | DM | GTAA | QSF,0.8481682523367121,0.6722152864474961,0.94245658087466,False
238,AAA | ADM | LAA | QSF | RAA,0.8481073103672914,0.6101254480286739,0.971830985915493,False
239,ADM | DM | PAA | QSF | RAA,0.8481044096895844,0.6207275577645948,0.9833333333333334,False
240,BAA_Aggressive | DM | GTAA | RAA | VAA,0.8479284926731934,0.6982793498867158,0.9833333333333334,False
241,ADM | BAA_Aggressive | DAA | QSF | RAA,0.8477881364159442,0.7026323957812348,0.94245658087466,False
242,ADM | DAA | DM | GTAA | RAA,0.8474752077339254,0.6722152864474961,0.9833333333333334,False
243,AAA | DM | GTAA | QSF | RAA,0.8473708771658964,0.6509201041906078,0.9833333333333334,False
244,ADM | GTAA | KDA | LAA | QSF,0.8472088413476625,0.6193150680482424,0.971830985915493,False
245,ADM | DM | GPM | RAA | VAA,0.8471831974230188,0.6722152864474961,0.9833333333333334,False
246,AAA | ADM | GTAA | LAA | QSF,0.8470517225331987,0.6509201041906078,0.971830985915493,False
247,DM | GTAA | KDA | LAA | RAA,0.8469528342390923,0.6101254480286739,0.9833333333333334,False
